hour,nodes,edges,replies,retweets,quotes,interactions,independent,neutral,positive,negative,ntweets,per_neutral,per_positive,per_negative,indeg_pos,indeg_neg,indeg_neu
2016-05-16_21,47184,75827,126,1052,54,1232,292,619,696,209,1524,0.4061679790026247,0.4566929133858268,0.13713910761154854,19837.0,6509.0,6331.0
2016-05-16_22,47436,76465,82,691,38,811,184,416,415,164,995,0.41809045226130653,0.41708542713567837,0.16482412060301507,19969.0,6580.0,6437.0
2016-05-16_23,47526,76778,45,378,21,444,122,232,271,63,566,0.4098939929328622,0.4787985865724382,0.11130742049469965,20116.0,6619.0,6479.0
2016-05-17_00,47608,76959,19,213,6,238,143,115,138,128,381,0.30183727034120733,0.36220472440944884,0.3359580052493438,20178.0,6630.0,6519.0
2016-05-17_01,47636,77028,10,84,2,96,57,52,66,35,153,0.33986928104575165,0.43137254901960786,0.22875816993464052,20196.0,6635.0,6528.0
2016-05-17_02,47664,77084,1,76,2,79,33,42,50,20,112,0.375,0.44642857142857145,0.17857142857142858,20218.0,6638.0,6538.0
2016-05-17_03,47696,77134,4,66,1,71,24,25,36,34,95,0.2631578947368421,0.37894736842105264,0.35789473684210527,20238.0,6641.0,6554.0
2016-05-17_04,47740,77235,4,129,6,139,51,69,83,38,190,0.3631578947368421,0.4368421052631579,0.2,20265.0,6645.0,6569.0
2016-05-17_05,47852,77505,15,328,10,353,117,134,225,111,470,0.2851063829787234,0.4787234042553192,0.23617021276595745,20330.0,6673.0,6615.0
2016-05-17_06,48189,78221,69,896,32,997,341,587,551,200,1338,0.43871449925261585,0.4118086696562033,0.14947683109118087,20575.0,6735.0,6672.0
2016-05-17_07,48632,79069,108,1032,49,1189,453,618,766,258,1642,0.3763702801461632,0.46650426309378806,0.15712545676004872,20854.0,6815.0,6751.0
2016-05-17_08,49184,80084,101,1187,51,1339,518,735,742,380,1857,0.39579967689822293,0.39956919763058696,0.20463112547119008,21133.0,6905.0,6854.0
